;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
-;Anthony DavisLAL;PF;56;34.0;25.9;9.7;17.2;56.3;0.3;1.3;25.7;6.2;7.9;78.4;12.5;2.6;1.1;2.0;2.2;40;0
1;Domantas SabonisSAC;PF;79;34.6;19.1;7.3;11.9;61.5;0.4;1.1;37.3;4.1;5.5;74.2;12.3;7.3;0.8;0.5;2.9;65;14
3;Nikola JokicDEN;C;69;33.7;24.5;9.4;14.8;63.2;0.8;2.2;38.3;4.9;6.0;82.2;11.8;9.8;1.3;0.7;3.6;58;29
4;Giannis AntetokounmpoMIL;PF;63;32.1;31.1;11.2;20.3;55.3;0.7;2.7;27.5;7.9;12.3;64.5;11.8;5.7;0.8;0.8;3.9;46;6
5;Rudy GobertMIN;C;70;30.7;13.4;5.1;7.8;65.9;0.0;0.0;0.0;3.1;4.9;64.4;11.6;1.2;0.8;1.4;1.7;35;0
-;Steven AdamsMEM;C;42;27.0;8.6;3.7;6.3;59.7;0.0;0.0;0.0;1.1;3.1;36.4;11.5;2.3;0.9;1.1;1.9;15;0
7;Clint CapelaATL;C;65;26.6;12.0;5.4;8.2;65.3;0.0;0.0;0.0;1.2;2.0;60.3;11.0;0.9;0.7;1.2;0.8;35;0
8;Nikola VucevicCHI;C;82;33.5;17.6;7.3;14.0;52.0;1.5;4.2;34.9;1.6;1.9;83.5;11.0;3.2;0.7;0.7;1.7;51;1
9;Jonas ValanciunasNO;C;79;24.9;14.1;5.6;10.3;54.7;0.5;1.4;34.9;2.3;2.8;82.6;10.2;1.8;0.3;0.7;2.0;43;0
10;Joel EmbiidPHI;C;66;34.6;33.1;11.0;20.1;54.8;1.0;3.0;33.0;10.0;11.7;85.7;10.2;4.2;1.0;1.7;3.4;39;1
11;Julius RandleNY;PF;77;35.5;25.1;8.5;18.6;46.0;2.8;8.3;34.3;5.2;6.9;75.7;10.0;4.1;0.6;0.3;2.8;40;0
12;Deandre AytonPHX;C;67;30.4;18.0;7.8;13.2;58.8;0.1;0.4;29.2;2.3;3.0;76.0;10.0;1.7;0.6;0.8;1.8;36;0
13;Ivica ZubacLAC;C;76;28.5;10.8;4.3;6.8;63.4;0.0;0.0;0.0;2.2;3.1;69.7;9.9;1.0;0.4;1.3;1.5;27;0
14;Jarrett AllenCLE;C;68;32.6;14.3;5.9;9.2;64.4;0.0;0.1;10.0;2.4;3.3;73.3;9.8;1.7;0.8;1.2;1.4;32;0
15;Bobby PortisMIL;A;70;26.0;14.1;5.7;11.5;49.6;1.4;3.7;37.0;1.4;1.8;76.8;9.6;1.5;0.4;0.2;1.2;38;0
16;Mitchell RobinsonNY;C;59;26.9;7.4;3.2;4.7;67.1;0.0;0.0;0.0;1.0;2.1;48.4;9.4;0.9;0.9;1.8;0.7;13;0
17;Kevon LooneyGS;A;82;23.9;7.0;3.0;4.7;63.0;0.0;0.0;0.0;1.1;1.9;60.6;9.3;2.5;0.6;0.6;0.5;14;0
18;Nic ClaxtonBKN;C;76;29.9;12.6;5.4;7.7;70.5;0.0;0.0;0.0;1.8;3.2;54.1;9.2;1.9;0.9;2.5;1.3;28;0
19;Bam AdebayoMIA;C;75;34.6;20.4;8.0;14.9;54.0;0.0;0.2;8.3;4.3;5.4;80.6;9.2;3.2;1.2;0.8;2.5;31;0
20;Jakob PoeltlSA/TOR;C;72;26.5;12.5;5.4;8.6;62.9;0.0;0.0;0.0;1.7;2.8;59.2;9.1;2.7;0.9;1.2;1.7;19;0
-;Jusuf NurkicPOR;C;52;26.8;13.3;5.0;9.7;51.9;0.8;2.3;36.1;2.4;3.7;66.1;9.1;2.9;0.8;0.8;2.3;18;0
22;Alperen SengunHOU;C;75;28.9;14.8;5.9;10.7;55.3;0.3;0.8;33.3;2.7;3.8;71.5;9.0;3.9;0.9;0.9;2.6;29;2
-;RaiQuan GrayBKN;A;1;35.0;16.0;6.0;12.0;50.0;2.0;5.0;40.0;2.0;2.0;100.0;9.0;7.0;0.0;1.0;4.0;0;0
23;Evan MobleyCLE;PF;79;34.4;16.2;6.6;12.0;55.4;0.3;1.3;21.6;2.6;3.8;67.4;9.0;2.8;0.8;1.5;1.8;24;0
25;Jalen DurenDET;C;67;24.9;9.1;3.9;5.9;64.8;0.0;0.0;0.0;1.4;2.3;61.1;8.9;1.1;0.7;0.9;1.4;19;0
26;Mason PlumleeLAC/CHA;C;79;26.0;10.8;4.2;6.1;68.0;0.0;0.0;0.0;2.5;4.0;63.6;8.9;3.1;0.6;0.6;1.5;23;0
27;Jayson TatumBOS;SF;74;36.9;30.1;9.8;21.1;46.6;3.2;9.3;35.0;7.2;8.4;85.4;8.8;4.6;1.1;0.7;2.9;31;1
-;Wendell Carter Jr.ORL;C;57;29.6;15.2;5.6;10.8;52.5;1.4;3.9;35.6;2.5;3.4;73.8;8.7;2.3;0.5;0.6;1.9;21;0
29;Lauri MarkkanenUTAH;PF;66;34.4;25.6;8.7;17.3;49.9;3.0;7.7;39.2;5.3;6.0;87.5;8.6;1.9;0.6;0.6;1.9;28;0
30;Luka DoncicDAL;PG;66;36.2;32.4;10.9;22.0;49.6;2.8;8.2;34.2;7.8;10.5;74.2;8.6;8.0;1.4;0.5;3.6;36;10
31;Kristaps PorzingisWSH;C;65;32.6;23.2;7.8;15.7;49.8;2.1;5.5;38.5;5.4;6.4;85.1;8.4;2.7;0.9;1.5;2.1;20;0
32;Walker KesslerUTAH;C;74;23.0;9.2;4.0;5.6;72.0;0.0;0.0;33.3;1.1;2.1;51.6;8.4;0.9;0.4;2.3;0.8;20;0
-;Robert Williams IIIBOS;C;35;23.5;8.0;3.6;4.9;74.7;0.0;0.0;0.0;0.7;1.2;61.0;8.3;1.4;0.6;1.4;1.0;6;0
-;LeBron JamesLAL;SF;55;35.5;28.9;11.1;22.2;50.0;2.2;6.9;32.1;4.6;5.9;76.8;8.3;6.8;0.9;0.6;3.2;18;2
-;Karl-Anthony TownsMIN;C;29;33.0;20.8;7.3;14.8;49.5;2.1;5.7;36.6;4.1;4.7;87.4;8.1;4.8;0.7;0.6;3.0;9;0
-;Isaiah StewartDET;C;50;28.3;11.3;3.9;8.8;44.2;1.3;4.1;32.7;2.2;3.0;73.8;8.1;1.4;0.4;0.7;1.4;13;0
37;Josh GiddeyOKC;SG;76;31.1;16.6;7.1;14.7;48.2;1.0;3.1;32.5;1.4;1.9;73.1;7.9;6.2;0.8;0.4;2.8;28;4
38;Pascal SiakamTOR;PF;71;37.4;24.2;8.9;18.5;48.0;1.3;4.0;32.4;5.2;6.7;77.4;7.8;5.8;0.9;0.5;2.4;24;2
